자치구,대여소명,상세주소,기준년월,대여건수,반납건수,X,Y
영등포구,200. 국회의원회관,서울특별시 영등포구 의사당대로 1,202301,60,51,37.52841568,126.9139175
영등포구,201. 진미파라곤 앞,서울특별시 영등포구 국회대로76길 10,202301,592,574,37.53123856,126.9213333
영등포구,202. 국민일보 앞,서울특별시 영등포구 여의공원로 101,202301,"1,824","1,782",37.52881622,126.92453
영등포구,203. 국회의사당역 3번출구 옆,서울특별시 영등포구 국회대로 지하758,202301,"1,098","1,083",37.5280571,126.9187012
영등포구,204. 국회의사당역 5번출구 옆,서울특별시 영등포구 의사당대로 8,202301,586,519,37.52816391,126.9170227
영등포구,205. 산업은행 앞,서울특별시 영등포구 의사당대로 97,202301,744,722,37.52626419,126.9205093
영등포구,206. KBS 앞,서울특별시 영등포구 여의공원로 13,202301,"1,111","1,025",37.52466583,126.9180222
영등포구,207. 여의나루역 1번출구 앞,서울특별시 영등포구 여의동로 지하343,202301,"2,495","2,069",37.52715683,126.9319
영등포구,209. 유진투자증권빌딩 앞,서울특별시 영등포구 국제금융로 24,202301,"1,054","1,125",37.52461243,126.9278336
영등포구,213. KT앞,서울특별시 영등포구 여의대로 38,202301,"1,430",990,37.52190781,126.9189529
영등포구,214. 금융감독원 앞,서울특별시 영등포구 여의대로 38,202301,858,830,37.5230217,126.9208374
영등포구,215. 여의도고교 앞,서울특별시 영등포구 국제금융로7길 37,202301,446,451,37.52483749,126.934906
영등포구,217. NH농협은행 앞,서울특별시 영등포구 국제금융로8길 2,202301,"1,476","1,532",37.52207947,126.9303665
영등포구,219. 롯데캐슬엠파이어 옆,서울특별시 영등포구 의사당대로 127,202301,"1,196","1,204",37.52069473,126.9258347
영등포구,220. 미성아파트 A동 앞,서울특별시 영등포구 의사당대로 110,202301,750,648,37.5193634,126.9260483
영등포구,221. 여의도초교 앞,서울특별시 영등포구 여의대방로 439,202301,581,583,37.52267456,126.9377899
영등포구,222. 시범아파트버스정류장 옆,서울특별시 영등포구 63로 45,202301,"1,393","1,553",37.51943588,126.9375992
영등포구,223. 진주아파트상가 앞,서울특별시 영등포구 국제금융로 108-6,202301,530,523,37.51913071,126.9333725
영등포구,224. 롯데캐슬 앞,서울특별시 영등포구 국제금융로 86,202301,921,941,37.5200882,126.9323654
영등포구,225. 앙카라공원 앞,서울특별시 영등포구 의사당대로 지하166,202301,"1,021",911,37.51758575,126.9296188
영등포구,226. 샛강역 1번출구 앞,서울특별시 영등포구 의사당대로 지하166,202301,"1,092",916,37.51776505,126.9284134
영등포구,248. 초원아파트 앞,서울특별시 영등포구 여의도동8-13,202301,369,364,37.53105545,126.9242096
영등포구,249. 여의도중학교 옆,서울특별시 영등포구 여의도동 8,202301,427,420,37.52434921,126.9361191
영등포구,260. 여의도 마리나선착장 앞,서울특별시 영등포구 여의서로 160,202301,164,141,37.53365707,126.9121628
영등포구,270. 증권거래소후문교차로,서울특별시 영등포구 여의나루로 76,202301,855,892,37.52234268,126.9271011
영등포구,271. 샛강생태공원방문자센터 앞,서울특별시 영등포구 여의동로 48,202301,214,171,37.51896286,126.9216156
영등포구,297.국회3문,영등포구 여의동로 330,202301,39,42,37.52863693,126.912674
영등포구,298.KBS 연구동 건너편,영등포구 여의도동 1-877,202301,299,187,37.52750778,126.914299
영등포구,299.여의도 순복음교회,영등포구 여의도동 8,202301,102,81,37.53179169,126.9224548
영등포구,4563. 여의도 은하아파트,영등포구 여의도동 52,202301,369,374,37.51850891,126.9344864
영등포구,4564. 63스퀘어,영등포구 여의도동 6,202301,"1,002","1,004",37.52070999,126.9396591
영등포구,4579. 국회의사당 본관,국회의사당 경내,202301,205,136,37.5325737,126.9140472
영등포구,4580. 국회3문,국회의사당 경내,202301,189,210,37.52974701,126.9131699
영등포구,4581. 국회소통관,국회의사당 경내,202301,158,156,37.53050232,126.9128952
영등포구,4582. 국회도서관,국회의사당 경내,202301,182,141,37.53054047,126.9181747
영등포구,4583. 의정관,국회의사당 경내,202301,108,89,37.53214645,126.9174728
영등포구,4584. 국회2문,국회의사당 경내,202301,115,81,37.52864075,126.9151077
영등포구,4585. 국회6문,국회의사당 경내,202301,95,91,37.53271866,126.9179916
영등포구,4589. KRX한국거래소(1),영등포구 여의나루로 76,202301,387,350,37.52347946,126.9271164
영등포구,5853. 여의도역2번출구 앞,여의도동 의사당대로 88,202301,645,616,37.52260971,126.9230118
영등포구,5854. 신한금융투자 앞,여의대로 70,202301,"1,790","1,783",37.52508926,126.9240799
영등포구,5855. 하이투자증권 앞,여의대로 66,202301,595,596,37.52464294,126.9234238
영등포구,5859. 여의도 삼부아파트,여의도동 30-2,202301,637,645,37.52539444,126.9304581
