자치구,대여소명,상세주소,기준년월,대여건수,반납건수,X,Y,이용합계
영등포구,200. 국회의원회관,서울특별시 영등포구 의사당대로 1,202302,89,73,37.52841568,126.9139175,162
영등포구,201. 진미파라곤 앞,서울특별시 영등포구 국회대로76길 10,202302,883,880,37.53123856,126.9213333,1763
영등포구,202. 국민일보 앞,서울특별시 영등포구 여의공원로 101,202302,"2,550","2,553",37.52881622,126.92453,5103
영등포구,203. 국회의사당역 3번출구 옆,서울특별시 영등포구 국회대로 지하758,202302,"1,434","1,428",37.5280571,126.9187012,2862
영등포구,204. 국회의사당역 5번출구 옆,서울특별시 영등포구 의사당대로 8,202302,687,681,37.52816391,126.9170227,1368
영등포구,205. 산업은행 앞,서울특별시 영등포구 의사당대로 97,202302,"1,112","1,114",37.52626419,126.9205093,2226
영등포구,206. KBS 앞,서울특별시 영등포구 여의공원로 13,202302,"1,805","1,557",37.52466583,126.9180222,3362
영등포구,207. 여의나루역 1번출구 앞,서울특별시 영등포구 여의동로 지하343,202302,"4,947","4,522",37.52715683,126.9319,9469
영등포구,209. 유진투자증권빌딩 앞,서울특별시 영등포구 국제금융로 24,202302,"1,691","1,843",37.52461243,126.9278336,3534
영등포구,213. KT앞,서울특별시 영등포구 여의대로 38,202302,"1,825","1,334",37.52190781,126.9189529,3159
영등포구,214. 금융감독원 앞,서울특별시 영등포구 여의대로 38,202302,"1,046",972,37.5230217,126.9208374,2018
영등포구,215. 여의도고교 앞,서울특별시 영등포구 국제금융로7길 37,202302,696,730,37.52483749,126.934906,1426
영등포구,217. NH농협은행 앞,서울특별시 영등포구 국제금융로8길 2,202302,"2,075","2,081",37.52207947,126.9303665,4156
영등포구,219. 롯데캐슬엠파이어 옆,서울특별시 영등포구 의사당대로 127,202302,"1,593","1,599",37.52069473,126.9258347,3192
영등포구,220. 미성아파트 A동 앞,서울특별시 영등포구 의사당대로 110,202302,"1,080",955,37.5193634,126.9260483,2035
영등포구,221. 여의도초교 앞,서울특별시 영등포구 여의대방로 439,202302,927,901,37.52267456,126.9377899,1828
영등포구,222. 시범아파트버스정류장 옆,서울특별시 영등포구 63로 45,202302,"2,059","2,259",37.51943588,126.9375992,4318
영등포구,223. 진주아파트상가 앞,서울특별시 영등포구 국제금융로 108-6,202302,768,658,37.51913071,126.9333725,1426
영등포구,224. 롯데캐슬 앞,서울특별시 영등포구 국제금융로 86,202302,"1,305","1,286",37.5200882,126.9323654,2591
영등포구,225. 앙카라공원 앞,서울특별시 영등포구 의사당대로 지하166,202302,"1,360","1,150",37.51758575,126.9296188,2510
영등포구,226. 샛강역 1번출구 앞,서울특별시 영등포구 의사당대로 지하166,202302,"1,655","1,364",37.51776505,126.9284134,3019
영등포구,248. 초원아파트 앞,서울특별시 영등포구 여의도동8-13,202302,609,608,37.53105545,126.9242096,1217
영등포구,249. 여의도중학교 옆,서울특별시 영등포구 여의도동 8,202302,"1,269","1,345",37.52434921,126.9361191,2614
영등포구,260. 여의도 마리나선착장 앞,서울특별시 영등포구 여의서로 160,202302,346,323,37.53365707,126.9121628,669
영등포구,270. 증권거래소후문교차로,서울특별시 영등포구 여의나루로 76,202302,"1,207","1,195",37.52234268,126.9271011,2402
영등포구,271. 샛강생태공원방문자센터 앞,서울특별시 영등포구 여의동로 48,202302,380,253,37.51896286,126.9216156,633
영등포구,297.국회3문,영등포구 여의동로 330,202302,122,117,37.52863693,126.912674,239
영등포구,298.KBS 연구동 건너편,영등포구 여의도동 1-877,202302,488,288,37.52750778,126.914299,776
영등포구,299.여의도 순복음교회,영등포구 여의도동 8,202302,185,187,37.53179169,126.9224548,372
영등포구,4563. 여의도 은하아파트,영등포구 여의도동 52,202302,506,490,37.51850891,126.9344864,996
영등포구,4564. 63스퀘어,영등포구 여의도동 6,202302,"1,469","1,562",37.52070999,126.9396591,3031
영등포구,4579. 국회의사당 본관,국회의사당 경내,202302,354,252,37.5325737,126.9140472,606
영등포구,4580. 국회3문,국회의사당 경내,202302,331,332,37.52974701,126.9131699,663
영등포구,4581. 국회소통관,국회의사당 경내,202302,208,208,37.53050232,126.9128952,416
영등포구,4582. 국회도서관,국회의사당 경내,202302,324,259,37.53054047,126.9181747,583
영등포구,4583. 의정관,국회의사당 경내,202302,227,159,37.53214645,126.9174728,386
영등포구,4584. 국회2문,국회의사당 경내,202302,132,93,37.52864075,126.9151077,225
영등포구,4585. 국회6문,국회의사당 경내,202302,163,154,37.53271866,126.9179916,317
영등포구,4589. KRX한국거래소(1),영등포구 여의나루로 76,202302,507,504,37.52347946,126.9271164,1011
영등포구,5853. 여의도역2번출구 앞,여의도동 의사당대로 88,202302,858,839,37.52260971,126.9230118,1697
영등포구,5854. 신한금융투자 앞,여의대로 70,202302,"2,789","2,849",37.52508926,126.9240799,5638
영등포구,5855. 하이투자증권 앞,여의대로 66,202302,903,907,37.52464294,126.9234238,1810
영등포구,5859. 여의도 삼부아파트,여의도동 30-2,202302,985,995,37.52539444,126.9304581,1980
